,T,E
0,67.37546145328069,4.5097527306353165
1,71.40583043492626,26.093924253032526
2,71.97212443544544,32.000309335564936
3,78.30504628357302,38.28684240376104
4,84.53420472923317,44.700981144166484
5,89.98984867314115,52.01145187250849
6,92.12829295576704,59.574376191016256
7,93.22198304811667,61.300146868199704
8,103.8748066825659,74.8027293891018
9,110.9349987051919,98.88303634372419
10,118.5235981213382,108.65009314297228
11,130.53089202582277,119.66150236353408
12,139.6206410931397,131.42460510438204
13,156.38169713253046,143.8918323819359
